epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,6484.35,0.65837,0.38926,0.87285,0.98397,0.98085,0.99289,0.86414,0.4967,0.24705,0.83767,0.002344,0.002344,0.002344
118,6685.48,0.66279,0.38974,0.8744,0.98399,0.98078,0.99291,0.86449,0.49527,0.24598,0.8373,0.002278,0.002278,0.002278
119,6886.05,0.656,0.38477,0.87265,0.98411,0.98103,0.99276,0.86507,0.4941,0.24521,0.83699,0.002212,0.002212,0.002212
120,7089.27,0.65317,0.38179,0.86857,0.98437,0.98106,0.99278,0.86502,0.4933,0.2447,0.83674,0.002146,0.002146,0.002146
121,7290.71,0.64374,0.38015,0.87066,0.98462,0.98063,0.9928,0.8656,0.49245,0.2443,0.83642,0.00208,0.00208,0.00208
122,7491.52,0.64068,0.37517,0.86694,0.98463,0.98064,0.99278,0.86572,0.49175,0.24391,0.83619,0.002014,0.002014,0.002014
123,7691.41,0.64288,0.37531,0.8673,0.98375,0.98045,0.9928,0.86583,0.49076,0.24341,0.83594,0.001948,0.001948,0.001948
124,7890.39,0.64043,0.37756,0.86742,0.98373,0.98044,0.99279,0.86642,0.48966,0.24312,0.83564,0.001882,0.001882,0.001882
125,8090.2,0.63967,0.37374,0.86491,0.98394,0.98029,0.99281,0.86685,0.48879,0.24276,0.83532,0.001816,0.001816,0.001816
126,8289.51,0.6273,0.36994,0.86812,0.98378,0.98007,0.99277,0.86707,0.48782,0.24241,0.83509,0.00175,0.00175,0.00175
127,8488.1,0.63401,0.36901,0.86612,0.98472,0.98016,0.99279,0.86756,0.48712,0.24194,0.83486,0.001684,0.001684,0.001684
128,8686.72,0.63376,0.37061,0.86251,0.98392,0.97999,0.99279,0.86777,0.48638,0.24146,0.83462,0.001618,0.001618,0.001618
129,8883.15,0.62366,0.3665,0.86314,0.98393,0.97992,0.99281,0.868,0.4856,0.24121,0.83436,0.001552,0.001552,0.001552
130,9082.32,0.61594,0.36474,0.86197,0.98464,0.98008,0.99283,0.86852,0.48464,0.24093,0.83409,0.001486,0.001486,0.001486
131,9279.76,0.61854,0.36342,0.86026,0.98456,0.98015,0.99282,0.86884,0.48382,0.24033,0.83381,0.00142,0.00142,0.00142
132,9475.85,0.61023,0.35885,0.86021,0.98455,0.98014,0.99286,0.8691,0.4831,0.24009,0.83364,0.001354,0.001354,0.001354
